neighborhood_name,nhd_id,price_2017
Mission,,1258316.67
Bernal Heights,,1327308.33
Excelsior,,899350.00
Bayview,,742616.67
Downtown,,1012883.33
Visitacion Valley,,797058.33
Noe Valley,,1603808.33
Pacific Heights,,1468991.67
Parkside,,1222800.00
South of Market,,1187558.33
Inner Richmond,,1248300.00
Outer Sunset,,1080608.33
Nob Hill,,1553800.00
Inner Sunset,,1379241.67
Portola,,898716.67
Outer Richmond,,1211191.67
Russian Hill,,1565858.33
Hayes Valley,,1279775.00
Marina,,1678433.33
South Beach,,1613400.00
Lower Pacific Heights,,1258341.67
Crocker Amazon,,866025.00
Potrero Hill,,1267383.33
Panhandle,,1172841.67
Western Addition,,998941.67
Haight,,1333016.67
Outer Mission,,842425.00
Mission Terrace,,1035116.67
Ingleside,,858050.00
Cow Hollow,,1564425.00
Silver Terrace,,817083.33
Lone Mountain,,1395625.00
Glen Park,,1427325.00
Lake,,1426833.33
Telegraph Hill,,1358575.00
Oceanview,,812800.00
Ingleside Heights,,806041.67
North Beach,,1291158.33
Sunnyside,,1156758.33
Miraloma Park,,1249258.33
Lakeshore,,1299908.33
Corona Heights,,1537850.00
Upper Market,,1220608.33
Financial District,,1804216.67
Golden Gate Heights,,1346500.00
Midtown Terrace,,1166891.67
Forest Hill,,1482208.33
Buena Vista,,1426450.00
Diamond Heights,,875066.67
Westwood Highlands,,1273558.33
