room_type,accomodates
Entire home/apt,6
Entire home/apt,2
Entire home/apt,7
Private room,1
Private room,2
Private room,4
Entire home/apt,4
Entire home/apt,3
Entire home/apt,16
Entire home/apt,1
Shared room,1
Entire home/apt,8
Entire home/apt,5
Private room,3
Shared room,3
Entire home/apt,10
Entire home/apt,9
Entire home/apt,14
Entire home/apt,15
Private room,6
Private room,5
Shared room,4
Shared room,2
Shared room,14
Entire home/apt,12
Entire home/apt,11
Private room,16
Entire home/apt,0
Shared room,5
Private room,9
